element,safe_web_name,element_type,team,safe_team_name
518,carlos sanchez,3,19,west ham
539,diangana,3,19,west ham
547,powell,3,19,west ham
548,coventry,3,19,west ham
560,xande silva,4,19,west ham
569,nasri,3,19,west ham
605,johnson,2,19,west ham
611,holland,3,19,west ham
421,ruddy,1,20,wolves
422,norris,1,20,wolves
423,boly,2,20,wolves
424,douglas,2,20,wolves
425,doherty,2,20,wolves
426,saiss,2,20,wolves
427,bennett,2,20,wolves
428,batth,2,20,wolves
429,miranda,2,20,wolves
430,coady,2,20,wolves
431,vinagre,2,20,wolves
432,jota,3,20,wolves
433,neves,3,20,wolves
434,cavaleiro,3,20,wolves
435,costa,3,20,wolves
436,enobakhare,3,20,wolves
437,jimenez,4,20,wolves
438,bonatini,4,20,wolves
448,gibbs-white,3,20,wolves
449,mir,4,20,wolves
454,patricio,1,20,wolves
475,moutinho,3,20,wolves
483,jonny,2,20,wolves
500,traore,3,20,wolves
519,dendoncker,3,20,wolves
525,hause,2,20,wolves
555,giles,3,20,wolves
567,kilman,2,20,wolves
596,john,2,20,wolves
