,element,event,value
856,450,21,51
857,450,22,50
858,450,23,49
859,450,24,49
860,450,25,49
861,450,26,48
862,450,27,48
863,450,28,48
864,450,29,48
865,450,30,48
866,450,32,47
867,450,33,47
868,450,34,47
869,450,35,47
871,450,36,47
872,450,37,47
873,450,38,47
874,451,1,45
875,451,2,45
876,451,3,45
877,451,4,45
878,451,5,45
879,451,6,45
880,451,7,45
881,451,8,45
882,451,9,45
883,451,10,45
884,451,11,45
885,451,12,45
886,451,13,45
887,451,14,45
888,451,15,45
889,451,16,45
890,451,17,45
891,451,18,45
892,451,19,45
893,451,20,45
894,451,21,45
895,451,22,44
896,451,23,44
897,451,24,44
898,451,25,44
899,451,26,44
900,451,27,44
901,451,28,44
902,451,29,44
903,451,30,44
904,451,32,44
905,451,33,44
906,451,34,44
907,451,35,44
909,451,36,44
910,451,37,44
911,451,38,44
912,542,8,40
913,542,9,40
914,542,10,40
915,542,11,40
916,542,12,40
917,542,13,40
918,542,14,40
919,542,15,40
920,542,16,40
921,542,17,40
922,542,18,40
923,542,19,40
924,542,20,40
925,542,21,40
926,542,22,40
927,542,23,40
928,542,24,40
929,542,25,40
930,542,26,40
931,542,27,40
932,542,28,40
933,542,29,40
934,542,30,40
935,542,32,40
936,542,33,40
937,542,34,40
938,542,35,40
940,542,36,40
941,542,37,40
942,542,38,40
943,545,9,45
944,545,10,45
945,545,11,45
946,545,12,45
947,545,13,45
948,545,14,45
949,545,15,45
950,545,16,45
951,545,17,45
952,545,18,45
953,545,19,45
954,545,20,45
955,545,21,45
956,545,22,45
957,545,23,45
958,545,24,45
959,545,25,45
960,545,26,45
961,545,27,45
962,545,28,45
963,545,29,45
964,545,30,45
965,545,32,45
966,545,33,45
967,545,34,45
968,545,35,45
970,545,36,45
971,545,37,45
972,545,38,45
973,546,9,40
974,546,10,40
975,546,11,40
976,546,12,40
977,546,13,40
978,546,14,40
979,546,15,40
980,546,16,40
981,546,17,40
982,546,18,40
983,546,19,40
984,546,20,40
985,546,21,40
986,546,22,40
987,546,23,40
988,546,24,40
989,546,25,40
990,546,26,40
991,546,27,40
992,546,28,40
993,546,29,40
994,546,30,40
995,546,32,40
996,546,33,40
997,546,34,40
998,546,35,40
1000,546,36,40
1001,546,37,40
1002,546,38,40
1003,552,12,50
1004,552,13,50
1005,552,14,50
1006,552,15,50
1007,552,16,50
1008,552,17,50
1009,552,18,50
1010,552,19,50
1011,552,20,50
1012,552,21,50
1013,552,22,50
1014,552,23,50
1015,552,24,50
1016,552,25,50
1017,552,26,50
1018,552,27,50
1019,552,28,50
1020,552,29,50
1021,552,30,50
1022,552,32,50
1023,552,33,50
1024,552,34,50
1025,552,35,50
1027,552,36,50
1028,552,37,50
1029,552,38,50
1030,563,18,45
1031,563,19,45
1032,563,20,45
1033,563,21,45
1034,563,22,45
1035,563,23,45
1036,563,24,45
1037,563,25,45
1038,563,26,45
1039,563,27,45
1040,563,28,45
1041,563,29,45
1042,563,30,45
1043,563,32,45
1044,563,33,45
1045,563,34,45
1046,563,35,45
1048,563,36,45
1049,563,37,45
1050,563,38,45
1051,566,19,45
1052,566,20,45
1053,566,21,45
1054,566,22,45
1055,566,23,45
1056,566,24,45
1057,566,25,45
1058,566,26,45
1059,566,27,45
1060,566,28,45
1061,566,29,45
1062,566,30,45
1063,566,32,45
1064,566,33,45
1065,566,34,45
1066,566,35,45
1068,566,36,45
1069,566,37,45
1070,566,38,45
1071,581,24,45
1072,581,25,45
1073,581,26,45
1074,581,27,45
1075,581,28,45
1076,581,29,45
1077,581,30,45
1078,581,32,45
1079,581,33,45
1080,581,34,45
1081,581,35,45
1083,581,36,45
1084,581,37,45
1085,581,38,45
1086,586,25,65
1087,586,26,65
1088,586,27,65
1089,586,28,63
1090,586,29,61
1091,586,30,60
1092,586,32,58
1093,586,33,58
1094,586,34,57
1095,586,35,57
1097,586,36,57
1098,586,37,57
1099,586,38,57
1100,24,1,45
1101,24,2,45
1102,24,3,45
1103,24,4,45
1104,24,5,45
1105,24,6,45
1106,24,7,45
1107,24,8,45
1108,24,9,45
1109,24,10,45
1110,24,11,45
1111,24,12,45
1112,24,13,45
1113,24,14,45
1114,24,15,45
1115,24,16,45
1116,24,17,45
1117,24,18,45
1118,24,19,45
1119,24,20,45
1120,24,21,44
1121,24,22,44
1122,24,23,44
1123,24,24,44
1124,24,25,44
1125,24,26,44
1126,24,27,43
1127,24,28,43
1128,24,29,43
1129,24,30,43
1130,24,31,43
1131,24,32,43
1132,24,33,43
1133,24,34,43
1134,24,35,43
1135,24,36,43
1136,24,37,43
1137,24,38,43
1138,25,1,40
1139,25,2,40
1140,25,3,40
1141,25,4,40
1142,25,5,40
1143,25,6,40
1144,25,7,40
1145,25,8,40
1146,25,9,40
1147,25,10,40
1148,25,11,40
1149,25,12,40
1150,25,13,40
1151,25,14,40
1152,25,15,40
1153,25,16,40
1154,25,17,40
1155,25,18,40
1156,25,19,40
1157,25,20,40
1158,25,21,40
1159,25,22,40
1160,25,23,40
1161,25,24,39
1162,25,25,39
1163,25,26,39
1164,25,27,40
1165,25,28,40
1166,25,29,40
1167,25,30,40
1168,25,31,41
1169,25,32,41
1170,25,33,41
1171,25,34,41
1172,25,35,41
1173,25,36,41
1174,25,37,41
1175,25,38,41
1176,26,1,45
1177,26,2,45
1178,26,3,45
1179,26,4,45
1180,26,5,44
1181,26,6,44
1182,26,7,44
1183,26,8,44
1184,26,9,44
1185,26,10,44
1186,26,11,44
1187,26,12,44
1188,26,13,44
1189,26,14,44
1190,26,15,44
1191,26,16,44
1192,26,17,44
1193,26,18,44
1194,26,19,44
1195,26,20,44
1196,26,21,44
1197,26,22,44
1198,26,23,43
1199,26,24,43
1200,26,25,43
1201,26,26,43
1202,26,27,43
1203,26,28,43
1204,26,29,43
